delivary_locations,drone_capacity,obstacles,obstacle_free_distance,brut_force_distance,christofides_distance,entry_exit_distance
27,5,13,78.63225624799139,81.7770945667783,83.640178886077,87.64701310962191
37,5,13,110.85928903991918,118.62031183187791,121.16116501535971,120.48293457431733
18,5,13,64.4279063334816,67.10265941066235,71.93150169083455,76.24759655068524
30,5,13,74.96699659512538,80.49411240677797,85.34987962720294,86.40440017531691
29,5,13,81.75623829616542,88.23400467542639,90.21912046300106,89.87157725992353
13,5,13,52.7868894215413,55.1937164866818,57.84328298249574,58.689682746274286
18,5,13,59.78571721645236,69.07584035499794,70.21169452060543,76.0261922177306
40,5,13,116.04079341841437,119.84767814540793,123.49062306954438,130.00645502599335
48,5,13,135.02173006100253,139.53988992502653,143.79605843759876,143.07099948158708
49,5,13,129.72870776929636,137.26964458480072,143.1788155302441,145.93682167737313
46,5,13,120.82453464774964,126.61248606885212,129.19230816314194,129.33927125685128
38,5,13,96.16296707967172,102.2206220787589,107.82126599753968,109.01049601878864
41,5,13,112.2572286836868,121.52504208843344,126.20753575171214,130.1001634931026
18,5,13,55.96572521845245,61.44926251038216,62.30740774032806,62.82910536391931
30,8,13,68.6547808975425,72.34946539850877,77.1335103504415,78.72715459381138
19,8,13,51.329515939574215,54.20276447878071,56.82112899724145,56.95532398177821
17,8,13,47.201498629112166,50.12089512237665,50.13590018495608,54.56145067085744
31,8,13,64.48423403251515,68.51537007362347,74.7424159144095,76.55406503461161
57,8,13,111.64023043521932,117.7751396045326,122.85040277429344,124.42079487124856
32,8,13,69.09903170980667,72.49704525071249,77.63552093280714,79.61548610614645
46,8,13,97.16260605455216,105.16409615238284,108.68795669752588,115.69874111197876
25,8,13,72.44848521939363,75.52680538460613,78.14837925918889,87.09857607178425
19,8,13,58.05602896877958,63.4661113798137,69.86743073447451,71.20364519989673
62,8,13,117.27990403084463,127.21059753999488,130.92891621984384,131.23530048275848
61,8,13,123.48873233447658,130.11377084468776,136.70322111855666,140.30513194991386
37,8,13,78.57342907035888,82.82802250775751,86.8302957840771,92.36266056677016
27,8,13,62.19193999885061,65.55713953015457,67.80254045587458,70.22834656076313
34,8,13,77.81431968630135,83.55296296328021,88.46578849085067,86.72782819136496
43,8,13,91.34494257355448,96.43095419623432,102.19990937988707,107.57025780641573
63,8,13,117.69783887791992,126.68741598450335,131.26392720665598,133.50996014322683
